Domaine,Specialite,Expertise,Complexite,Tps_Tot,Tps_Xplr,Tps_Xplo,Tps_RI,SW2a,SW2b,Docs,TG_Tot,FOFG,FOFD,SAE,Eleve
HIST,3EME,expert,TR,5.73000906,4.684288677,5.577614143,5.629862518,4.5,0.5,4.5,0.005289515,,,19,ALE3A
HIST,3EME,expert,TR,5.482362558,4.948992128,4.880175969,5.216975654,4.5,1.5,2.0,0.026354454,,,45,ALI3C
HIST,3EME,expert,TR,5.588317656,5.236057106,5.076421967,5.464563315,7.0,3.5,3.0,0.03354579,,,33,ANAEL3A
HIST,3EME,expert,TR,5.714284483,5.039743186,4.628547291,5.182124931,7.0,3.0,3.5,0.047041667,,,45,Anna3B
HIST,3EME,expert,TR,5.372056373,4.366759055,5.166433074,5.230369719,2.5,0.5,1.5,0.013633172,,,45,CHLOE23
HIST,3EME,expert,TR,5.415877743,4.746859849,5.087167152,5.250556613,2.5,0.5,1.5,0.032725993,,,39,EMM23A
HIST,3EME,expert,TR,5.495259108,4.88420609,4.648213595,5.083075999,2.0,0.0,1.5,0.044958975,,,49,FAT23C
HIST,3EME,expert,TR,5.521121732,4.455461577,4.977741891,5.091823416,3.5,1.0,1.5,0.021051745,,,49,LIS3B
HIST,3EME,expert,TR,6.110426567,5.601491236,5.848812083,6.043554229,10.5,5.0,5.5,0.005665626,,,44,LUC3A
HIST,3EME,expert,TR,5.290291771,4.727813622,4.954039791,5.156523408,3.5,1.0,2.5,0.022232597,,,41,MAE23A
HIST,3EME,expert,TR,5.511242806,3.95017006,4.74868408,4.812779707,2.0,0.0,1.0,0.035673516,,,40,MAR3B
HIST,3EME,expert,TR,5.307245658,3.490800952,4.923536732,4.939282073,1.0,0.0,1.0,0.0,,,42,MAT3B
HIST,3EME,expert,TR,5.435853122,4.727451786,4.687738478,5.009078909,2.0,0.5,1.5,0.041047954,,,37,MATT3B
HIST,3EME,expert,TR,5.61280663,3.895477796,4.934447949,4.972438904,1.0,0.0,2.0,0.023258518,,,39,MEL3B
HIST,3EME,expert,TR,5.635233855,4.892953989,4.990381039,5.245423826,2.5,0.5,2.0,0.020447912,,,42,NICO3A
HIST,3EME,expert,TR,5.469724105,4.683299252,5.174764637,5.296161512,4.0,0.5,4.5,0.013374124,,,46,NICO3B
HIST,3EME,expert,TR,5.490055447,4.96381143,4.832751539,5.204236684,3.0,1.0,2.0,0.029395338,,,47,ROM3B
HIST,3EME,expert,TR,5.197214375,4.417255738,4.473618333,4.74738073,2.0,0.0,2.0,0.067206559,,,43,SAC3B
HIST,3EME,expert,TR,5.500992126,4.631037697,5.195204779,5.299962492,3.5,0.0,2.5,0.0,,,47,STE3A
HIST,3EME,expert,TR,5.603107007,4.36240707,5.284873827,5.333915576,1.5,0.5,4.0,0.020758031,,,44,TOM3A
HIST,4EME,novice,TR,5.649407884,4.319116474,5.224719482,5.275593497,1.5,0.0,1.5,0.01192094,,,40,ADA24A
